fold,n_valid,gamma,lambda_,SSE,RMSE
5,102,2.0,1.0,222.99213823488378,0.4100841783824888
5,102,2.0,10.0,452.60946696536075,0.584238341468661
5,102,2.0,100.0,790.8618264798878,0.7722866804511965
5,102,4.0,1e-06,233.7615010501541,0.4198698902920664
5,102,4.0,1e-05,233.7622432990218,0.41987055688537167
5,102,4.0,0.0001,233.76968838135753,0.4198772430506243
5,102,4.0,0.001,233.84630248040156,0.41994604128034096
5,102,4.0,0.01,234.7585213672836,0.42076433483070197
5,102,4.0,0.1,245.13600376975432,0.429963697448395
5,102,4.0,1.0,322.10100980306277,0.49286080397901466
5,102,4.0,10.0,602.5399186071422,0.6740950688482352
5,102,4.0,100.0,849.1874612051799,0.8002580000665866
